TOWN_ID,PUB_ACCESS,LEV_PROT,GIS_ACRES,SHAPE_AREA,PRIM_PURP,Town,NAME,Households,Median income,,,
101.0,"Y, N, L, X","P, L, N, X",3137.40796317,12696644.99249070,"B, C, F, W, A, H, R, O",FRANKLIN,"Franklin Town city, Norfolk County, Massachusetts",12118,127608,,,
102.0,"Y, N, L, X","P, L, N",7226.1418463,29243185.277104900,"C, H, W, A, B, R, O",FREETOWN,"Freetown town, Bristol County, Massachusetts",3369,109821,,,
103.0,"Y, X, L, N","P, N, L",4692.33338515,18989194.78556840,"C, W, R, H, B",GARDNER,"Gardner city, Worcester County, Massachusetts",8841,52770,,,
104.0,"Y, L, N","L, P, X",788.09656721,3189312.1467564500,"R, C, H, B",AQUINNAH,"Aquinnah town, Dukes County, Massachusetts",223,94375,,,
105.0,"X, Y, N, L","P, L, N",2549.38683378,10267577.729380300,"C, W, H, B, R",GEORGETOWN,"Georgetown town, Essex County, Massachusetts",3223,129153,,,
106.0,"N, Y, L, X","P, L, N",2026.91881779,8202652.03614302,"A, B, C, H, R",GILL,"Gill town, Franklin County, Massachusetts",602,72500,,,
107.0,"Y, X, L, N","P, L, N, T, X",6406.2731849600000,25925269.09873100,"R, H, C, W, B",GLOUCESTER,"Gloucester city, Essex County, Massachusetts",13168,82984,,,
108.0,"Y, N, L","P, L, N",3009.62270119,12179568.225413300,"B, H, R, C",GOSHEN,"Goshen town, Hampshire County, Massachusetts",372,95000,,,
109.0,"L, N, Y, X","P, L",2268.15092056,9178881.45417668,"C, H, W",GOSNOLD,"Gosnold town, Dukes County, Massachusetts",22,70000,,,
110.0,"Y, X, L, N","L, P, N, X",2130.67941211,8622556.13408142,"H, W, C, R, B, F, O, A",GRAFTON,"Grafton town, Worcester County, Massachusetts",7468,107237,,,
111.0,"Y, N, L","L, P, N",4708.76379411,19055663.727396600,"R, A, C, B, H, F",GRANBY,"Granby town, Hampshire County, Massachusetts",2530,106821,,,
112.0,"N, X, Y, L","P, L, N",14212.74361567,57516939.32764420,"W, C, A, H, R, B",GRANVILLE,"Granville town, Hampden County, Massachusetts",657,89875,,,
113.0,"Y, N, L","P, L, N",12636.3891338,51137669.11247600,"W, B, C, A, H, R",GREAT BARRINGTON,"Great Barrington town, Berkshire County, Massachusetts",3096,65192,,,
114.0,"N, X, Y, L","P, L, N",2748.05556688,11120976.56139730,"A, H, W, C, R, B",GREENFIELD,"Greenfield city, Franklin County, Massachusetts",8100,52211,,,
115.0,"Y, L, N, X","P, L, N",7848.39064008,31761322.72591760,"C, H, B, A, R, W",GROTON,"Groton town, Middlesex County, Massachusetts",3829,169497,,,
116.0,"Y, X, N","P, L, X",2049.80869313,8295277.11857984,"C, B, W, H, R",GROVELAND,"Groveland town, Essex County, Massachusetts",2532,121711,,,
117.0,"L, Y, N, X","P, L, N",6192.53660669,25060297.761408800,"C, A, B, W, H, R",HADLEY,"Hadley town, Hampshire County, Massachusetts",2254,101458,,,
118.0,"Y, N","P, L, N",2563.14532431,10372644.018964400,"C, W, B, H, R",HALIFAX,"Halifax town, Plymouth County, Massachusetts",2930,98264,,,
119.0,"Y, X, N, L","P, L, N",4078.75104221,16506147.001543300,"C, W, R, H, B",HAMILTON,"Hamilton town, Essex County, Massachusetts",2567,116699,,,
120.0,"Y, L, N, X","P, L, N",1598.97543787,6470824.52498514,"R, C, H, A",HAMPDEN,"Hampden town, Hampden County, Massachusetts",2016,99400,,,
121.0,"Y, X, N, L","P, L, N",9976.5799299,40373785.754298000,"C, H, A, B, R",HANCOCK,"Hancock town, Berkshire County, Massachusetts",296,74167,,,
122.0,"Y, X, N, L","P, X, L, N",1791.91322724,7251609.755192440,"C, W, R, H, B",HANOVER,"Hanover town, Plymouth County, Massachusetts",4744,149048,,,
123.0,"Y, X, N, L","L, P, N",2081.01953891,8421579.909290850,"H, C, W, R, B",HANSON,"Hanson town, Plymouth County, Massachusetts",3920,112315,,,
124.0,"L, Y, X, N","P, L, N",10112.94641568,40925631.38395500,"W, C, R, H, A, B",HARDWICK,"Hardwick town, Worcester County, Massachusetts",1028,71429,,,
125.0,"Y, L, X, N","N, P, L",5625.28246036,22764709.985120800,"B, C, H, W, R, A",HARVARD,"Harvard town, Worcester County, Massachusetts",1849,167393,,,
126.0,"X, Y, L, N","P, L, N, X",2855.35230067,11555188.16443790,"W, C, O, R, B, H",HARWICH,"Harwich town, Barnstable County, Massachusetts",5733,79641,,,
127.0,"N, Y, X, L","P, L",1546.48839921,6258420.710038290,"A, W, H, B, C, R",HATFIELD,"Hatfield town, Hampshire County, Massachusetts",1490,76688,,,
128.0,"Y, N, L, X","P, N, L",3647.7302292,14761847.628246700,"R, W, B, C, H, A",HAVERHILL,"Haverhill city, Essex County, Massachusetts",26108,75130,,,
129.0,"N, L, X, Y","P, L, N",11622.21247983,47033428.95505950,"C, H, B, A, R",HAWLEY,"Hawley town, Franklin County, Massachusetts",139,70625,,,
130.0,"N, Y, L, X","P, L, N",3527.67085699,14275961.56546790,"C, A, H, B, W, R",HEATH,"Heath town, Franklin County, Massachusetts",314,97704,,,
131.0,"Y, X, L, N","P, L, X, N",4744.07337106,19198583.789861900,"R, C, H, B, O, X, W",HINGHAM,"Hingham town, Plymouth County, Massachusetts",9252,154300,,,
132.0,"Y, X, N","P, L, N",4953.07858392,20044379.457702200,"C, W, H, B, R",HINSDALE,"Hinsdale town, Berkshire County, Massachusetts",779,65911,,,
133.0,"Y, X, L, N","P, L, N",766.86824562,3103405.68489715,"C, W, H, R, B, U, O",HOLBROOK,"Holbrook town, Norfolk County, Massachusetts",4712,89763,,,
134.0,"L, Y, N, X","N, L, P, X",10804.35101394,43723663.691411800,"R, C, W, A, H, O, B",HOLDEN,"Holden town, Worcester County, Massachusetts",7180,124638,,,
135.0,"Y, L","P, N",2301.73992003,9314786.858452600,"F, C, R",HOLLAND,"Holland town, Hampden County, Massachusetts",1106,82500,,,
136.0,"Y, N, X, L","P, L, N, X",3189.84985414,12908864.368587600,"C, A, W, F, R, H, B",HOLLISTON,"Holliston town, Middlesex County, Massachusetts",5485,142348,,,
137.0,"Y, X, N, L","P, L, N",5570.70337064,22543840.886048500,"B, R, C, W, H, A",HOLYOKE,"Holyoke city, Hampden County, Massachusetts",15062,45045,,,
138.0,"X, N, Y, L","P, L",699.67875409,2831500.89249561,"W, R, H, C, B",HOPEDALE,"Hopedale town, Worcester County, Massachusetts",2116,113300,,,
139.0,"Y, X, L, N","P, L, N, X",4927.02814533,19939006.50373990,"C, B, H, R, W",HOPKINTON,"Hopkinton town, Middlesex County, Massachusetts",6556,179192,,,
140.0,"L, N, Y, X","P, L, N",12280.0160981,49696531.29509680,"W, A, H, C, U, R, B, F",HUBBARDSTON,"Hubbardston town, Worcester County, Massachusetts",1586,105938,,,
141.0,"Y, L, N, X","P, N, L",1137.2488777,4602283.404838250,"R, W, C, B, H",HUDSON,"Hudson town, Middlesex County, Massachusetts",8035,94191,,,
142.0,"Y, L","P, L, X",332.47824484,1345491.72052609,"B, C, H, R, X, O",HULL,"Hull town, Plymouth County, Massachusetts",4380,117120,,,
143.0,"N, Y, L, X","P, N, L",6987.7712985,28278498.260005500,"W, C, R, O, B, F, H",HUNTINGTON,"Huntington town, Hampshire County, Massachusetts",911,68542,,,
144.0,"Y, N, L, X","P, T, L, N, X",10657.43464229,43129239.14162600,"C, R, B, A, W, H",IPSWICH,"Ipswich town, Essex County, Massachusetts",5573,111701,,,
145.0,"Y, X, N, L","P, L, N",2337.90405502,9461143.514392910,"C, R, W, H, B, O",KINGSTON,"Kingston town, Plymouth County, Massachusetts",5321,103945,,,
146.0,"N, Y, L, X","P, L, N",4803.68697703,19439828.30438260,"C, A, W, B, R, H",LAKEVILLE,"Lakeville town, Plymouth County, Massachusetts",4162,112240,,,
147.0,"Y, X, L, N","P, L, N, X",2393.71036916,9687024.15926112,"C, H, W, B, R",LANCASTER,"Lancaster town, Worcester County, Massachusetts",2818,109963,,,
